id;name;protein;fett;rohasche;rohfaser;feuchtigkeit;nfe;me_kcal_100g;me_kcal_kg
classic_junior_huhn_ente_kartoffeln;Classic Junior Huhn und Ente mit Kartoffeln;11,0;6,5;2,3;0,5;77,0;2,7;109,17;1092
classic_junior_pute;Classic Junior Pute;11,0;7,0;2,3;0,5;77,5;1,7;109,61;1096
classic_senior_gefluegel_reis_paprika;Classic Senior Geflügel mit Reis und Paprika;8,0;5,5;2,2;0,6;79,5;4,2;93,47;935
classic_senior_rind_reis_kartoffeln;Classic Senior Rind mit Reis und Kartoffeln;8,0;5,5;2,1;0,6;79,5;4,3;93,83;938
classic_adult_ente_reis;Classic Adult Ente mit Reis;9,5;6,5;2,4;0,5;79,0;2,1;100,66;1007
classic_adult_rinderpansen_reis;Classic Adult Rinderpansen mit Reis;9,5;6,5;2,3;0,5;78,0;3,2;104,82;1048
classic_adult_gefluegelherzen_seelachs;Classic Adult reich an Geflügelherzen und Seelachs;9,5;6,0;2,6;0,5;78,0;3,4;101,41;1014
classic_adult_ente_lamm_kartoffeln;Classic Adult Ente mit Lamm und Kartoffeln;9,5;6,0;2,4;0,5;79,0;2,6;98,34;983
classic_adult_gefluegel_lachs;Classic Adult Geflügel mit Lachs;9,0;7,5;2,5;0,5;78,0;2,5;108,58;1086
classic_adult_gefluegel_reis_extra_mager;Classic Adult Geflügel mit Reis extra mager;10,5;3,0;2,5;0,6;79,5;3,9;81,75;818
classic_adult_rinderherzen_nudeln;Classic Adult Rinderherzen mit Nudeln;9,5;6,5;2,3;0,6;78,0;3,1;103,98;1040
classic_adult_rinderherzen_reis;Classic Adult Rinderherzen mit Reis;9,5;6,5;2,3;0,5;78,0;3,2;104,82;1048
classic_saison_rinderherzen_reis_wildapfel;Classic Adult Saison Rinderherzen mit Reis und Wildapfel;9,0;6,0;2,3;0,6;78,0;4,1;101,48;1015
classic_adult_rind_reis_extra_mager;Classic Adult Rind mit Reis extra mager;10,5;3,0;2,3;0,6;79,5;4,1;82,46;825
classic_saison_ente_lamm_kartoffeln_wildapfel;Classic Adult Saison Ente mit Lamm, Kartoffeln und Wildapfel;9,0;6,0;2,4;0,6;79,0;3,0;97,32;973
hypoallergen_adult_pferd;Hypoallergen Adult Pferd;9,0;4,5;2,0;0,3;78,5;5,7;96,08;961
hypoallergen_adult_ziege;Hypoallergen Adult Ziege;9,0;5,0;2,1;0,3;78,0;5,6;99,96;1000
hypoallergen_adult_kamel;Hypoallergen Adult Kamel;9,0;5,5;1,9;0,3;79,0;4,3;99,29;993
